year,round_number,total_matches,matches_without_changes,matches_with_one_change,matches_with_multiple_changes,unknown_results,malformed_matches,total_snapshots
2012,82,2,0,2,0,0,0,4
2012,83,12,7,5,0,0,0,17
2012,84,46,24,22,0,0,0,68
2012,85,27,9,18,0,0,0,45
2012,86,58,40,18,0,0,0,76
2012,87,24,7,17,0,0,0,41
2012,88,78,49,29,0,0,0,107
2012,89,13,3,10,0,0,0,23
2012,90,72,49,23,0,0,0,95
2012,91,2,2,0,0,0,0,2
2012,92,34,18,16,0,0,0,50
2012,93,34,14,20,0,0,0,54
2012,94,78,45,33,0,0,0,111
2012,95,23,4,19,0,0,0,42
2012,96,24,13,11,0,0,0,35
2012,97,77,41,36,0,0,0,113
2012,98,37,14,23,0,0,0,60
2012,99,67,37,30,0,0,0,97
2012,100,128,74,54,0,0,0,182
2012,101,36,19,17,0,0,0,53
2012,102,116,47,69,0,0,0,185
2012,103,120,55,65,0,0,0,185
2012,104,101,46,55,0,0,0,156
2012,105,121,65,56,0,0,0,177
2012,106,110,60,50,0,0,0,160
2012,107,123,66,57,0,0,0,180
2012,108,117,59,58,0,0,0,175
2012,109,104,56,48,0,0,0,152
2012,110,91,47,44,0,0,0,135
2012,111,0,0,0,0,0,0,0
2013,1,15,9,6,0,0,0,21
2013,2,24,10,14,0,0,0,38
2013,3,8,6,2,0,0,0,10
2013,4,40,30,10,0,0,0,50
2013,5,13,9,4,0,0,0,17
2013,6,62,54,8,0,0,0,70
2013,7,14,10,4,0,0,0,18
2013,8,54,44,10,0,0,0,64
2013,9,22,14,8,0,0,0,30
2013,10,62,52,10,0,0,0,72
2013,11,37,32,5,0,0,0,42
2013,12,61,53,8,0,0,0,69
2013,13,24,12,12,0,0,0,36
2013,14,54,43,11,0,0,0,65
2013,15,24,9,15,0,0,0,39
2013,16,60,54,6,0,0,0,66
2013,17,38,29,9,0,0,0,47
2013,18,78,72,6,0,0,0,84
2013,19,16,8,8,0,0,0,24
2013,20,79,72,7,0,0,0,86
2013,21,29,22,7,0,0,0,36
2013,22,78,71,7,0,0,0,85
2013,23,6,1,5,0,0,0,11
2013,24,43,33,10,0,0,0,53
2013,25,26,22,4,0,0,0,30
2013,26,76,70,6,0,0,0,82
2013,27,37,31,6,0,0,0,43
2013,28,77,67,10,0,0,0,87
2013,29,33,20,13,0,0,0,46
2013,30,73,67,6,0,0,0,79
2013,31,19,14,5,0,0,0,24
2013,32,76,65,11,0,0,0,87
2013,33,32,21,11,0,0,0,43
2013,34,77,67,10,0,0,0,87
2013,35,28,17,11,0,0,0,39
2013,36,77,61,16,0,0,0,93
2013,37,20,10,10,0,0,0,30
2013,38,79,62,17,0,0,0,96
2013,39,20,12,5,3,0,0,31
2013,40,70,54,15,1,0,1,87
2013,41,16,13,3,0,0,0,19
2013,42,41,33,5,3,0,0,52
2013,43,6,3,2,1,0,1,10
2013,44,24,17,4,3,0,1,34
2013,45,9,4,4,1,0,0,15
2013,46,25,19,6,0,0,0,31
2013,47,17,12,4,1,0,0,23
2013,48,5,2,2,1,0,0,9
2013,49,9,5,1,3,0,0,16
2013,50,14,8,4,2,0,0,23
2013,51,3,0,2,1,0,0,7
2013,52,14,4,9,1,0,0,25
2013,53,6,2,3,1,0,0,11
2013,54,17,8,8,1,0,0,27
2013,55,9,6,3,0,0,0,12
2013,56,16,10,5,1,0,0,23
2013,57,16,6,9,1,0,0,27
2013,58,3,1,1,1,0,0,6
2013,59,1,1,0,0,0,0,1
2013,60,5,2,2,1,0,0,9
2013,61,16,10,6,0,0,0,22
2013,62,32,24,6,2,0,0,42
2013,63,0,0,0,0,0,0,0
2013,64,50,33,15,2,0,0,69
2013,65,34,26,3,5,0,0,48
2013,66,66,53,9,4,0,0,84
2013,67,20,10,6,4,0,0,34
2013,68,77,62,12,3,0,0,95
2013,69,31,24,5,2,0,0,40
2013,70,79,67,10,2,0,0,94
2013,71,0,0,0,0,0,0,0
2013,72,41,33,6,2,0,1,51
2013,73,38,26,11,1,0,0,51
2013,74,68,47,18,3,0,0,93
2013,75,48,37,7,4,0,0,65
2013,76,78,59,15,4,0,0,101
2013,77,43,25,14,4,0,0,65
2013,78,74,56,16,2,0,0,95
2013,79,47,30,13,4,0,0,70
2013,80,77,59,17,1,0,0,96
2013,81,7,1,5,1,0,0,14
2013,82,37,26,6,5,0,0,53
2013,83,42,30,7,5,0,0,59
2013,84,72,45,22,5,0,0,107
2013,85,43,20,13,10,0,0,82
2013,86,77,54,19,4,0,0,109
2013,87,41,23,11,7,0,0,69
2013,88,66,55,10,1,0,0,78
2013,89,31,29,1,1,0,0,34
2013,90,42,29,12,1,0,0,57
